ejercicio,estado,evidencia
1,completo,formatos_detectados.csv; integracion_resumen.csv; datasets normalizados
2,completo,calidad_resumen.csv; calidad_variables.csv; auditoria_limpieza_texto.csv
3,completo,tablas y figuras EDA; preguntas_adicionales.csv
4,completo,"red bipartita, nodos, aristas y figura"
5,completo,proyección de autores y proyección de videos
6,completo,"métricas topológicas, grados, componentes y periferia"
7,completo,comunidades estructurales y caracterización temática/sentimiento
8,completo,"centralidades, autores puente, videos articuladores y remoción"
9,completo,"RoBERTuito en español, probabilidades, confianza y agregaciones"
10,completo,"síntesis, respuestas obligatorias, limitaciones y conclusiones"
