comment_id,texto_original,texto_limpio
Ugw-J65a1iYL9hqhELh4AaABAg,Ese corrupto amigo de la vieja fiscal los tengo que verbose en la carcel,corrupto amigo vieja fiscal tengo verbose carcel
Ugw-ZT9t9wU2V-tCaUZ4AaABAg,"Están jóvenes porque no buscan un trabajo,  tuvieron suerte que no hay policías que le gusta del otro vando , por ir vestido de mujer se los hubieran ensamblado la maquinaria.",jóvenes buscan trabajo tuvieron suerte policías gusta vando ir vestido mujer hubieran ensamblado maquinaria
Ugw0xaOb2CYXXoudtwJ4AaABAg,"Me dejaron con ganas de demandar la ilegalidad de las reuniones virtuales, esto no es una maquila",dejaron ganas demandar ilegalidad reuniones virtuales maquila
Ugw0xgUc2ISpBr5_T654AaABAg,Veremos a este mafioso de Mazariegos en la cárcel y un buen tiempo en la sombra.,veremos mafioso mazariegos cárcel buen tiempo sombra
Ugw1ZzA21njWhaqQQTh4AaABAg,"eso es para que salga de USA por su propio pie 
que se auto deporten",salga usa propio pie auto deporten
Ugw1ZzA21njWhaqQQTh4AaABAg.Aa9Tf29tBouAaB_XZQglTL,Imagine if they had to walk back home.,imagine if they had to walk back home
Ugw2014OIYf336oytFt4AaABAg,buenísima investigacion :hand-purple-blue-peace::hand-purple-blue-peace::hand-purple-blue-peace:,buenísima investigacion hand purple blue peace hand purple blue peace hand purple blue peace
Ugw2bSVOoNn2pc8ZcUl4AaABAg,"Lleven su lonchera, sacrifiquense un poco. Y reintevren ese dinero. O están robando.",lleven lonchera sacrifiquense reintevren dinero robando
Ugw3gnUvLp6AqO0_odt4AaABAg,Viva Guatemala 🇬🇹🇬🇹🇬🇹🥳🥳🥳,viva guatemala
Ugw4C1ijI36l6LAiSZh4AaABAg,LADRONES !!!!,ladrones
Ugw4St_YnT9_Ya5xSPt4AaABAg,"Otro pequeño truco es que tenés un plan mensual de Gb y redes ilimitadas y luego te mandan mensaje que consumiste el 95% de tu plan y ahi viene el caos verificas el consumo de tus datos y solo has utilizado redes, con un mínimo de internet y por ende hay que hacer una recarga adicional,,, porque vas a averiguar y solo te dicen que sí consumiste tus datos y ya,,,,a recargar,,un negoció redondo para ambas empresas 🤮🤮😠😠💵💵",pequeño truco tenés plan mensual gb redes ilimitadas luego mandan mensaje consumiste plan ahi viene caos verificas consumo tus datos solo has utilizado redes mínimo internet ende hacer recarga adicional vas averiguar solo dicen consumiste tus datos recargar negoció redondo ambas empresas
Ugw4ccnmIWJaE6VNRWN4AaABAg,Que bien que cambio de nombre,bien cambio nombre
Ugw5E402-fn52PLXFIJ4AaABAg,Tiene un poquito de oro y no habla como resolver los problemas .,poquito oro habla resolver problemas
Ugw5URsiAF9QVoniY-l4AaABAg,"Si a los diputados no les alcanza el sueldo que se busquen otro trabajo,  ya sea de los departamentos o de la capital.",diputados alcanza sueldo busquen trabajo departamentos capital
Ugw5xMAuDaygo77ynI94AaABAg,"Lamentable son las EXCUSAS,  reclama que porque no se ve el trabajo que realizan, sueldon para que se costeen sus propios alimentos, pero tienen que ir a restaurantes de lujo y el PUEBLO luchando para llevar un pan a su mesa, muchos ni a eso llegan  ...",lamentable excusas reclama ve trabajo realizan sueldon costeen propios alimentos tienen ir restaurantes lujo pueblo luchando llevar pan mesa muchos ni llegan
