community,authors,comments,videos,channels,top_terms,top_videos,top_channels,top_categories,algoritmo,modularidad_global,sentimiento
1,126,161,3,3,"pueblo, dinero, diputados, trabajo, diputado, q, sueldo, tienen",Qué rico come tu diputado | Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales | Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Quorum | PrensaLibreOficial | Gobierno de la República de Guatemala,News & Politics | Entertainment,Louvain ponderado,0.3949028012418394,Pendiente para fase final con herramienta validada para español
2,61,83,3,2,"presidente, guatemala, país, años, arevalo, ni, bernardo, salvador",Inician los trabajos de recuperación del Puente Belice II. | Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt | Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Gobierno de la República de Guatemala | Noti7,Entertainment | News & Politics,Louvain ponderado,0.3949028012418394,Pendiente para fase final con herramienta validada para español
3,55,60,4,2,"usac, corruptos, universidad, estudiantes, información, excelente, fuera, pueblo",La cooptación de Walter Mazariegos en la USAC | Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu | Qué rico come tu diputado,Quorum | TN23 Guatemala,News & Politics,Louvain ponderado,0.3949028012418394,Pendiente para fase final con herramienta validada para español
4,28,33,3,1,"excelente, empresas, solo, internet, ley, país, aquí, competencia",Arroz con pollo a la MONOPOLIO | Internet: escoger el menos malo | Caminar en una ciudad hecha para carros,Quorum,News & Politics,Louvain ponderado,0.3949028012418394,Pendiente para fase final con herramienta validada para español
5,25,25,1,1,"guatemala, ciudad, saludos, todos, viva, proyectos, tiempo, q",Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala,News & Politics,Louvain ponderado,0.3949028012418394,Pendiente para fase final con herramienta validada para español
6,18,25,1,1,"you, usa, pais, otros, país, if, to, ver",EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,News & Politics,Louvain ponderado,0.3949028012418394,Pendiente para fase final con herramienta validada para español
7,6,6,1,1,"asquerosos, gasolina, subira, guerra, países, guatemala, galón, país",Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,PrensaLibreOficial,News & Politics,Louvain ponderado,0.3949028012418394,Pendiente para fase final con herramienta validada para español
8,4,4,1,1,"iniciativa, juego, excelente, ve, deporte, dinamico, ni, entretenido","I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",Quorum,News & Politics,Louvain ponderado,0.3949028012418394,Pendiente para fase final con herramienta validada para español
9,3,3,1,1,"guatemala, solo, cambia, dictadura, cada, años, vi, semilla",10 Preguntas a un año del Paro Nacional,Quorum,News & Politics,Louvain ponderado,0.3949028012418394,Pendiente para fase final con herramienta validada para español
10,2,2,1,1,"persona, encargada, ecosistema, ayude, problema, q, recuerdos, dejando","Noticiero en Directo 1 pm, 28 de Agosto de 2026",Noticiero Guatevisión 13 Hrs.,News & Politics,Louvain ponderado,0.3949028012418394,Pendiente para fase final con herramienta validada para español
