comment_id,video_id,author_channel_id,channel_id,channel_name,category,texto_original,texto_limpio,sentimiento,etiqueta_modelo,prob_negativo,prob_neutral,prob_positivo,confianza,margen_confianza,baja_confianza,community
Ugw-J65a1iYL9hqhELh4AaABAg,j43HgwYFKfk,UCdFlugHJJa4l3YqWuNRmvXw,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,Ese corrupto amigo de la vieja fiscal los tengo que verbose en la carcel,corrupto amigo vieja fiscal tengo verbose carcel,negativo,NEG,0.8077868819236755,0.14628511667251587,0.04592809081077576,0.8077868819236755,0.6615017652511597,False,3.0
Ugw-ZT9t9wU2V-tCaUZ4AaABAg,06mFNPU0aB8,UCvl1tzQeBeGy6efPTRJXSCw,UCVpSRoZgngfSL03Nlbjtq9A,Noti7,News & Politics,"Están jóvenes porque no buscan un trabajo,  tuvieron suerte que no hay policías que le gusta del otro vando , por ir vestido de mujer se los hubieran ensamblado la maquinaria.",jóvenes buscan trabajo tuvieron suerte policías gusta vando ir vestido mujer hubieran ensamblado maquinaria,negativo,NEG,0.9573979377746582,0.03683771938085556,0.005764244589954615,0.9573979377746582,0.9205602183938026,False,2.0
Ugw0xaOb2CYXXoudtwJ4AaABAg,j43HgwYFKfk,UCRAquv8el-tQ30bN7MlmySQ,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,"Me dejaron con ganas de demandar la ilegalidad de las reuniones virtuales, esto no es una maquila",dejaron ganas demandar ilegalidad reuniones virtuales maquila,negativo,NEG,0.9713771343231201,0.025966880843043327,0.002656030235812068,0.9713771343231201,0.9454102534800768,False,3.0
Ugw0xgUc2ISpBr5_T654AaABAg,j43HgwYFKfk,UCkbsS_3D-pvg1iHOld9uvIg,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,Veremos a este mafioso de Mazariegos en la cárcel y un buen tiempo en la sombra.,veremos mafioso mazariegos cárcel buen tiempo sombra,negativo,NEG,0.7018648982048035,0.2676485478878021,0.030486587435007095,0.7018648982048035,0.43421635031700134,False,3.0
Ugw1ZzA21njWhaqQQTh4AaABAg,OkXlHx0hx-8,UCOLHH4ZpMxPYF-Q6e6wvn5A,UCRwA1NUcUnwsly35ikGhp0A,Noticias Telemundo,News & Politics,"eso es para que salga de USA por su propio pie 
que se auto deporten",salga usa propio pie auto deporten,negativo,NEG,0.6980985403060913,0.27964019775390625,0.022261323407292366,0.6980985403060913,0.41845834255218506,False,6.0
Ugw1ZzA21njWhaqQQTh4AaABAg.Aa9Tf29tBouAaB_XZQglTL,OkXlHx0hx-8,UCi2KiZq63sRq8Mfbcp-MelQ,UCRwA1NUcUnwsly35ikGhp0A,Noticias Telemundo,News & Politics,Imagine if they had to walk back home.,imagine if they had to walk back home,neutral,NEU,0.30897507071495056,0.5396040678024292,0.1514209508895874,0.5396040678024292,0.23062899708747864,True,6.0
Ugw2014OIYf336oytFt4AaABAg,yLZS3JiEBg8,UCXl30Y_upRqbti52fmjK4YA,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,buenísima investigacion :hand-purple-blue-peace::hand-purple-blue-peace::hand-purple-blue-peace:,buenísima investigacion hand purple blue peace hand purple blue peace hand purple blue peace,positivo,POS,0.021916138008236885,0.388818621635437,0.5892652273178101,0.5892652273178101,0.20044660568237305,True,4.0
Ugw2bSVOoNn2pc8ZcUl4AaABAg,n8iP75gIpmw,UCRelkU8JiZBytTzebJxaa-w,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,"Lleven su lonchera, sacrifiquense un poco. Y reintevren ese dinero. O están robando.",lleven lonchera sacrifiquense reintevren dinero robando,negativo,NEG,0.5835477709770203,0.37668541073799133,0.039766840636730194,0.5835477709770203,0.20686236023902893,True,1.0
Ugw3gnUvLp6AqO0_odt4AaABAg,lj983NWyAQY,UCgLurCo-e019HGODcjXHWCw,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,News & Politics,Viva Guatemala 🇬🇹🇬🇹🇬🇹🥳🥳🥳,viva guatemala,positivo,POS,0.049912285059690475,0.24253122508525848,0.7075564861297607,0.7075564861297607,0.46502526104450226,False,5.0
Ugw4C1ijI36l6LAiSZh4AaABAg,n8iP75gIpmw,UCDIMztpVm7G27qBuiWuT6oQ,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,LADRONES !!!!,ladrones,negativo,NEG,0.5498986840248108,0.30511170625686646,0.1449895054101944,0.5498986840248108,0.24478697776794434,True,1.0
